,Buy Threshold,Sell Threshold,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,Sum
201,0.21,0.24,-0.21,-0.77,0.0,-0.63,-0.31,0.0,0.0,0.0,0.0,-0.67,-1.32,-0.33,0.0,-4.24
204,0.21,0.21,-0.21,-0.77,0.0,-0.63,-0.31,0.0,0.0,0.0,0.0,-0.67,-1.32,-0.33,0.0,-4.24
946,0.07,-0.21,-3.56,1.83,3.32,-4.96,-2.82,-2.35,1.88,-1.06,0.62,2.11,0.3,-1.32,1.77,-4.24
633,0.13,-0.08,-0.91,-0.23,-0.47,-4.04,0.79,-1.94,1.33,-0.75,-0.75,1.64,0.59,-1.34,1.83,-4.25
941,0.07,-0.16,-2.77,1.83,2.58,-4.69,-2.82,-2.94,1.88,-1.15,1.21,1.85,0.3,-1.32,1.77,-4.27
2099,-0.16,-0.24,-3.19,1.68,3.81,-6.35,-2.18,-2.05,2.01,-2.45,0.87,2.49,-0.0,-1.17,2.26,-4.27
475,0.16,0.0,-0.36,-0.71,0.0,-1.22,-0.16,-0.08,-0.61,0.18,0.05,-0.67,-0.52,-1.82,1.64,-4.28
1245,0.01,-0.2,-3.53,1.68,3.22,-5.4,-2.26,-2.37,1.34,-1.32,0.62,2.81,-0.21,-1.23,2.36,-4.29
942,0.07,-0.17,-2.77,1.83,2.58,-4.96,-2.82,-2.94,1.88,-0.94,1.21,1.85,0.3,-1.32,1.77,-4.33
533,0.15,-0.08,-1.41,-0.23,0.0,-4.04,0.79,-1.94,1.33,-0.75,-0.75,1.64,0.59,-1.39,1.83,-4.33
990,0.06,-0.15,-3.56,1.83,2.58,-4.74,-2.27,-2.94,1.88,-1.31,0.91,2.22,0.16,-1.32,2.17,-4.39
2246,-0.19,-0.21,-3.19,1.68,3.49,-5.43,-2.18,-2.05,2.01,-2.71,0.41,2.49,-0.0,-1.17,2.26,-4.39
2296,-0.2,-0.21,-3.19,1.68,3.49,-5.43,-2.18,-2.05,2.01,-2.71,0.41,2.49,-0.0,-1.17,2.26,-4.39
2496,-0.24,-0.21,-3.19,1.68,3.49,-5.43,-2.18,-2.05,2.01,-2.71,0.41,2.49,-0.0,-1.17,2.26,-4.39
2446,-0.23,-0.21,-3.19,1.68,3.49,-5.43,-2.18,-2.05,2.01,-2.71,0.41,2.49,-0.0,-1.17,2.26,-4.39
2346,-0.21,-0.21,-3.19,1.68,3.49,-5.43,-2.18,-2.05,2.01,-2.71,0.41,2.49,-0.0,-1.17,2.26,-4.39
2396,-0.22,-0.21,-3.19,1.68,3.49,-5.43,-2.18,-2.05,2.01,-2.71,0.41,2.49,-0.0,-1.17,2.26,-4.39
526,0.15,-0.01,-0.36,-0.71,0.0,-1.22,-0.16,-0.08,-0.61,0.31,0.05,-0.67,-0.31,-2.28,1.64,-4.4
525,0.15,0.0,-0.36,-0.71,0.0,-1.22,-0.16,-0.08,-0.61,0.32,0.05,-0.67,-0.65,-1.98,1.64,-4.43
2196,-0.18,-0.21,-3.19,1.68,3.49,-5.43,-2.18,-2.05,2.01,-2.77,0.41,2.49,-0.0,-1.17,2.26,-4.45
1246,0.01,-0.21,-3.53,1.68,3.38,-5.4,-2.26,-2.37,1.34,-1.32,0.62,2.49,-0.21,-1.23,2.36,-4.45
2146,-0.17,-0.21,-3.19,1.68,3.49,-5.43,-2.18,-2.05,2.01,-2.77,0.41,2.49,-0.0,-1.17,2.26,-4.45
1044,0.05,-0.19,-3.72,1.83,2.79,-4.82,-2.27,-2.94,1.34,-1.59,0.62,2.81,0.3,-1.32,2.47,-4.5
1140,0.03,-0.15,-3.58,1.76,2.06,-4.6,-2.27,-2.48,1.34,-1.08,0.91,2.14,0.16,-1.23,2.36,-4.51
637,0.13,-0.12,-0.91,-0.23,-0.47,-4.1,-0.6,-1.94,2.58,-0.72,-0.75,1.64,0.59,-1.45,1.83,-4.53
250,0.2,0.25,-0.21,-0.77,0.0,-0.63,-0.31,0.0,0.0,-0.32,0.0,-0.66,-1.32,-0.33,0.0,-4.55
300,0.19,0.25,-0.21,-0.77,0.0,-0.63,-0.31,0.0,0.0,-0.32,0.0,-0.66,-1.32,-0.33,0.0,-4.55
251,0.2,0.24,-0.21,-0.77,0.0,-0.63,-0.31,0.0,0.0,-0.32,0.0,-0.67,-1.32,-0.33,0.0,-4.56
256,0.2,0.19,-0.21,-0.77,0.0,-0.63,-0.31,0.0,0.0,-0.32,0.0,-0.67,-1.32,-0.33,0.0,-4.56
301,0.19,0.24,-0.21,-0.77,0.0,-0.63,-0.31,0.0,0.0,-0.32,0.0,-0.67,-1.32,-0.33,0.0,-4.56
302,0.19,0.23,-0.21,-0.77,0.0,-0.63,-0.31,0.0,0.0,-0.32,0.0,-0.67,-1.32,-0.33,0.0,-4.56
254,0.2,0.21,-0.21,-0.77,0.0,-0.63,-0.31,0.0,0.0,-0.32,0.0,-0.67,-1.32,-0.33,0.0,-4.56
255,0.2,0.2,-0.21,-0.77,0.0,-0.63,-0.31,0.0,0.0,-0.32,0.0,-0.67,-1.32,-0.33,0.0,-4.56
303,0.19,0.22,-0.21,-0.77,0.0,-0.63,-0.31,0.0,0.0,-0.32,0.0,-0.67,-1.32,-0.33,0.0,-4.56
304,0.19,0.21,-0.21,-0.77,0.0,-0.63,-0.31,0.0,0.0,-0.32,0.0,-0.67,-1.32,-0.33,0.0,-4.56
252,0.2,0.23,-0.21,-0.77,0.0,-0.63,-0.31,0.0,0.0,-0.32,0.0,-0.67,-1.32,-0.33,0.0,-4.56
306,0.19,0.19,-0.21,-0.77,0.0,-0.63,-0.31,0.0,0.0,-0.32,0.0,-0.67,-1.32,-0.33,0.0,-4.56
253,0.2,0.22,-0.21,-0.77,0.0,-0.63,-0.31,0.0,0.0,-0.32,0.0,-0.67,-1.32,-0.33,0.0,-4.56
305,0.19,0.2,-0.21,-0.77,0.0,-0.63,-0.31,0.0,0.0,-0.32,0.0,-0.67,-1.32,-0.33,0.0,-4.56
790,0.1,-0.15,-4.12,1.83,-0.55,-4.74,-0.6,-1.74,1.88,-0.71,1.21,1.85,0.59,-1.32,1.85,-4.57
991,0.06,-0.16,-3.56,1.83,2.58,-4.69,-2.27,-2.94,1.88,-1.68,0.91,2.22,0.3,-1.32,2.17,-4.57
1299,0.0,-0.24,-3.57,1.68,3.63,-5.4,-2.18,-2.19,1.24,-1.81,0.62,2.49,-0.21,-1.23,2.36,-4.57
476,0.16,-0.01,-0.36,-0.71,0.0,-1.22,-0.16,-0.08,-0.61,0.18,0.05,-0.67,-0.52,-2.12,1.64,-4.58
2098,-0.16,-0.23,-3.19,1.68,3.81,-6.35,-2.18,-2.05,2.01,-2.77,0.87,2.49,-0.0,-1.17,2.26,-4.59
537,0.15,-0.12,-1.41,-0.23,0.0,-4.1,-0.6,-1.94,2.58,-0.72,-0.75,1.64,0.59,-1.5,1.83,-4.61
1195,0.02,-0.2,-3.53,1.76,2.8,-5.4,-2.26,-2.35,1.34,-1.32,0.62,2.81,-0.21,-1.23,2.36,-4.61
992,0.06,-0.17,-3.56,1.83,2.58,-4.96,-2.27,-2.94,1.88,-1.47,0.91,2.22,0.3,-1.32,2.17,-4.63
1043,0.05,-0.18,-3.72,1.83,2.79,-4.82,-2.27,-2.94,1.34,-1.47,0.62,2.56,0.3,-1.32,2.47,-4.63
739,0.11,-0.14,-4.12,1.1,-0.55,-5.44,-0.6,-1.74,2.0,-0.94,1.21,1.98,0.59,-1.32,3.2,-4.63
583,0.14,-0.08,-1.41,-0.23,-0.41,-4.04,0.79,-1.94,1.33,-0.75,-0.75,1.64,0.59,-1.34,1.83,-4.69
1141,0.03,-0.16,-3.58,1.76,2.06,-4.55,-2.27,-2.48,1.34,-1.45,0.91,2.14,0.3,-1.23,2.36,-4.69
1799,-0.1,-0.24,-3.19,1.68,3.81,-5.7,-2.18,-2.05,1.39,-2.91,0.87,2.49,-0.0,-1.17,2.26,-4.7
1142,0.03,-0.17,-3.58,1.76,2.06,-4.82,-2.27,-2.48,1.34,-1.2,0.91,2.14,0.3,-1.23,2.36,-4.71
423,0.17,0.02,-0.96,-1.04,0.0,-0.09,-0.29,0.06,0.0,0.18,0.0,-0.67,-0.52,-1.85,0.47,-4.71
369,0.18,0.06,-0.96,-1.01,0.0,-0.91,-0.29,0.06,0.0,0.19,0.0,-0.67,-0.52,-1.08,0.47,-4.72
1194,0.02,-0.19,-3.53,1.76,2.8,-5.4,-2.26,-2.48,1.34,-1.32,0.62,2.81,-0.21,-1.23,2.36,-4.74
576,0.14,-0.01,-0.36,-0.71,-0.41,-1.22,-0.16,-0.08,-0.61,0.31,0.05,-0.67,-0.31,-2.23,1.64,-4.76
1090,0.04,-0.15,-3.58,1.76,2.06,-4.6,-2.27,-2.48,1.34,-1.44,0.91,2.22,0.16,-1.32,2.47,-4.77
1196,0.02,-0.21,-3.53,1.76,2.96,-5.4,-2.26,-2.35,1.34,-1.32,0.62,2.49,-0.21,-1.23,2.36,-4.77
575,0.14,0.0,-0.36,-0.71,-0.41,-1.22,-0.16,-0.08,-0.61,0.32,0.05,-0.67,-0.65,-1.93,1.64,-4.79
626,0.13,-0.01,-0.06,-0.71,-0.86,-1.22,-0.16,-0.08,-0.61,0.31,0.05,-0.56,-0.31,-2.23,1.64,-4.8
686,0.12,-0.11,-2.1,-0.23,-0.47,-4.1,0.79,-1.55,2.58,-1.09,-1.36,1.76,0.59,-1.45,1.83,-4.8
1749,-0.09,-0.24,-3.19,1.68,3.73,-5.7,-2.18,-2.08,1.39,-2.91,0.87,2.49,-0.0,-1.17,2.26,-4.81
625,0.13,0.0,-0.06,-0.71,-0.86,-1.22,-0.16,-0.08,-0.61,0.32,0.05,-0.56,-0.65,-1.93,1.64,-4.83
1244,0.01,-0.19,-3.53,1.68,2.78,-5.4,-2.26,-2.5,1.34,-1.32,0.62,2.81,-0.21,-1.23,2.36,-4.86
371,0.18,0.04,-0.96,-1.04,0.0,-0.91,-0.29,0.06,0.0,0.18,0.0,-0.67,-0.52,-1.18,0.47,-4.86
370,0.18,0.05,-0.96,-1.04,0.0,-0.91,-0.29,0.06,0.0,0.18,0.0,-0.67,-0.52,-1.18,0.47,-4.86
372,0.18,0.03,-0.96,-1.04,0.0,-0.91,-0.29,0.06,0.0,0.18,0.0,-0.67,-0.52,-1.18,0.47,-4.86
433,0.17,-0.08,-1.41,-0.32,0.0,-4.04,-0.07,-1.94,0.0,0.08,0.0,1.64,0.59,-1.23,1.83,-4.87
383,0.18,-0.08,-1.41,-0.32,0.0,-4.04,-0.07,-1.94,0.0,0.08,0.0,1.64,0.59,-1.23,1.83,-4.87
1092,0.04,-0.17,-3.58,1.76,2.06,-4.82,-2.27,-2.48,1.34,-1.47,0.91,2.22,0.3,-1.32,2.47,-4.88
791,0.1,-0.16,-4.12,1.83,-0.55,-4.69,-0.6,-1.74,1.88,-1.08,1.21,1.85,0.59,-1.32,1.85,-4.89
1091,0.04,-0.16,-3.58,1.76,2.06,-4.55,-2.27,-2.48,1.34,-1.81,0.91,2.22,0.3,-1.32,2.47,-4.95
587,0.14,-0.12,-1.41,-0.23,-0.41,-4.1,-0.6,-1.94,2.58,-0.72,-0.75,1.64,0.59,-1.45,1.83,-4.97
943,0.07,-0.18,-3.56,1.83,3.32,-4.96,-2.82,-2.94,1.88,-0.94,0.62,1.85,0.3,-1.32,1.77,-4.97
1193,0.02,-0.18,-3.53,1.76,2.8,-5.4,-2.26,-2.48,1.34,-1.2,0.62,2.45,-0.21,-1.23,2.36,-4.98
434,0.17,-0.09,-1.41,-0.32,0.0,-4.04,-0.07,-1.94,0.0,0.08,0.0,1.64,0.59,-1.34,1.83,-4.98
435,0.17,-0.1,-1.41,-0.32,0.0,-4.04,-0.07,-1.94,0.0,0.08,0.0,1.64,0.59,-1.34,1.83,-4.98
384,0.18,-0.09,-1.41,-0.32,0.0,-4.04,-0.07,-1.94,0.0,0.08,0.0,1.64,0.59,-1.34,1.83,-4.98
989,0.06,-0.14,-3.56,1.78,2.58,-5.19,-2.27,-2.94,1.88,-1.4,0.91,2.22,0.16,-1.32,2.17,-4.98
385,0.18,-0.1,-1.41,-0.32,0.0,-4.04,-0.07,-1.94,0.0,0.08,0.0,1.64,0.59,-1.34,1.83,-4.98
795,0.1,-0.2,-4.12,1.83,0.19,-4.96,-0.6,-1.74,1.88,-1.06,0.62,1.85,0.59,-1.32,1.85,-4.99
794,0.1,-0.19,-4.12,1.83,0.19,-4.96,-0.6,-1.74,1.88,-1.06,0.62,1.85,0.59,-1.32,1.85,-4.99
793,0.1,-0.18,-4.12,1.83,0.19,-4.96,-0.6,-1.74,1.88,-1.08,0.62,1.85,0.59,-1.32,1.85,-5.01
437,0.17,-0.12,-1.41,-0.32,0.0,-4.1,-0.07,-1.94,0.0,0.11,0.0,1.64,0.59,-1.34,1.83,-5.01
436,0.17,-0.11,-1.41,-0.32,0.0,-4.1,-0.07,-1.94,0.0,0.11,0.0,1.64,0.59,-1.34,1.83,-5.01
386,0.18,-0.11,-1.41,-0.32,0.0,-4.1,-0.07,-1.94,0.0,0.11,0.0,1.64,0.59,-1.34,1.83,-5.01
387,0.18,-0.12,-1.41,-0.32,0.0,-4.1,-0.07,-1.94,0.0,0.11,0.0,1.64,0.59,-1.34,1.83,-5.01
1798,-0.1,-0.23,-3.19,1.68,3.81,-5.7,-2.18,-2.05,1.39,-3.23,0.87,2.49,-0.0,-1.17,2.26,-5.02
1298,0.0,-0.23,-3.57,1.68,3.63,-5.4,-2.18,-2.19,1.24,-2.29,0.62,2.49,-0.21,-1.23,2.36,-5.05
2097,-0.16,-0.22,-3.19,1.68,3.81,-6.35,-2.18,-2.05,2.01,-2.77,0.41,2.49,-0.0,-1.17,2.26,-5.05
1297,0.0,-0.22,-3.57,1.68,3.63,-5.4,-2.18,-2.19,1.24,-2.29,0.62,2.49,-0.21,-1.23,2.36,-5.05
939,0.07,-0.14,-2.77,1.78,2.58,-5.44,-2.82,-2.94,1.88,-1.01,1.21,1.85,0.16,-1.32,1.77,-5.07
888,0.08,-0.13,-4.73,1.42,2.66,-5.44,-0.6,-3.08,2.05,-1.01,1.21,1.85,0.59,-1.85,1.85,-5.08
945,0.07,-0.2,-3.56,1.83,3.32,-4.96,-2.82,-2.94,1.88,-1.06,0.62,1.85,0.3,-1.32,1.77,-5.09
944,0.07,-0.19,-3.56,1.83,3.32,-4.96,-2.82,-2.94,1.88,-1.06,0.62,1.85,0.3,-1.32,1.77,-5.09
1139,0.03,-0.14,-3.58,1.71,2.06,-5.05,-2.27,-2.48,1.34,-1.17,0.91,2.14,0.16,-1.23,2.36,-5.1
1243,0.01,-0.18,-3.53,1.68,2.78,-5.4,-2.26,-2.5,1.34,-1.2,0.62,2.45,-0.21,-1.23,2.36,-5.1
2049,-0.15,-0.24,-3.19,1.68,3.81,-6.35,-2.18,-2.05,1.62,-2.9,0.87,2.49,-0.0,-1.17,2.26,-5.11
788,0.1,-0.13,-2.9,1.42,-0.47,-5.44,-0.6,-1.88,2.05,-0.94,1.21,1.85,0.59,-1.85,1.85,-5.11
678,0.12,-0.03,-1.12,-0.6,-0.88,-1.22,0.47,-0.22,-0.61,0.31,-0.31,-0.25,-0.31,-2.23,1.83,-5.14
474,0.16,0.01,-0.96,-1.68,0.0,-0.65,-0.16,0.06,-0.61,0.18,0.05,-0.67,-0.52,-1.82,1.64,-5.14
1295,0.0,-0.2,-3.57,1.68,3.21,-5.4,-2.18,-2.19,1.24,-2.29,0.62,2.81,-0.21,-1.23,2.36,-5.15
792,0.1,-0.17,-4.12,1.83,-0.55,-4.96,-0.6,-1.74,1.88,-1.08,1.21,1.85,0.59,-1.32,1.85,-5.16
368,0.18,0.07,-0.96,-1.01,0.0,-0.91,-0.31,0.06,0.0,0.05,0.0,-0.67,-0.34,-1.08,0.0,-5.17
1699,-0.08,-0.24,-3.19,1.68,3.73,-5.7,-2.18,-2.08,1.39,-3.27,0.87,2.49,-0.0,-1.17,2.26,-5.17
1040,0.05,-0.15,-3.72,1.83,2.05,-4.6,-2.27,-2.94,1.34,-1.31,0.91,2.22,0.16,-1.32,2.47,-5.18
481,0.16,-0.06,-1.41,-0.23,0.0,-3.83,0.35,-1.94,1.33,0.3,-0.75,0.02,1.22,-2.12,1.83,-5.23
679,0.12,-0.04,-1.78,-0.6,-0.47,-1.45,0.47,-0.58,-0.61,-0.06,-0.31,-0.25,0.76,-2.23,1.83,-5.28
1296,0.0,-0.21,-3.57,1.68,3.37,-5.4,-2.18,-2.19,1.24,-2.29,0.62,2.49,-0.21,-1.23,2.36,-5.31
684,0.12,-0.09,-2.1,-0.23,-0.47,-4.04,0.79,-2.65,2.58,-1.12,-0.81,1.76,0.59,-1.45,1.83,-5.32
1899,-0.12,-0.24,-3.19,1.68,3.81,-6.35,-2.18,-2.05,1.39,-2.9,0.87,2.49,-0.0,-1.17,2.26,-5.34
1949,-0.13,-0.24,-3.19,1.68,3.81,-6.35,-2.18,-2.05,1.39,-2.9,0.87,2.49,-0.0,-1.17,2.26,-5.34
1999,-0.14,-0.24,-3.19,1.68,3.81,-6.35,-2.18,-2.05,1.39,-2.9,0.87,2.49,-0.0,-1.17,2.26,-5.34
1849,-0.11,-0.24,-3.19,1.68,3.81,-6.35,-2.18,-2.05,1.39,-2.9,0.87,2.49,-0.0,-1.17,2.26,-5.34
1041,0.05,-0.16,-3.72,1.83,2.05,-4.55,-2.27,-2.94,1.34,-1.68,0.91,2.22,0.3,-1.32,2.47,-5.36
1089,0.04,-0.14,-3.58,1.71,2.06,-5.05,-2.27,-2.48,1.34,-1.53,0.91,2.22,0.16,-1.32,2.47,-5.36
419,0.17,0.06,-0.96,-1.01,0.0,-0.91,-0.29,0.06,0.0,0.19,0.0,-0.67,-0.52,-1.75,0.47,-5.39
365,0.18,0.1,-0.96,-1.01,0.0,-1.13,-0.31,0.06,0.0,0.05,0.0,-0.67,-0.34,-1.08,0.0,-5.39
524,0.15,0.01,-0.96,-1.68,0.0,-0.65,-0.16,0.06,-0.61,0.32,0.05,-0.67,-0.65,-2.09,1.64,-5.4
1042,0.05,-0.17,-3.72,1.83,2.05,-4.82,-2.27,-2.94,1.34,-1.47,0.91,2.22,0.3,-1.32,2.47,-5.42
2048,-0.15,-0.23,-3.19,1.68,3.81,-6.35,-2.18,-2.05,1.62,-3.22,0.87,2.49,-0.0,-1.17,2.26,-5.43
1748,-0.09,-0.23,-3.19,1.68,3.73,-5.7,-2.18,-2.08,1.39,-3.59,0.87,2.49,-0.0,-1.17,2.26,-5.49
1698,-0.08,-0.23,-3.19,1.68,3.73,-5.7,-2.18,-2.08,1.39,-3.59,0.87,2.49,-0.0,-1.17,2.26,-5.49
367,0.18,0.08,-0.96,-1.01,0.0,-1.27,-0.31,0.06,0.0,0.05,0.0,-0.67,-0.34,-1.08,0.0,-5.53
366,0.18,0.09,-0.96,-1.01,0.0,-1.27,-0.31,0.06,0.0,0.05,0.0,-0.67,-0.34,-1.08,0.0,-5.53
420,0.17,0.05,-0.96,-1.04,0.0,-0.91,-0.29,0.06,0.0,0.18,0.0,-0.67,-0.52,-1.85,0.47,-5.53
422,0.17,0.03,-0.96,-1.04,0.0,-0.91,-0.29,0.06,0.0,0.18,0.0,-0.67,-0.52,-1.85,0.47,-5.53
421,0.17,0.04,-0.96,-1.04,0.0,-0.91,-0.29,0.06,0.0,0.18,0.0,-0.67,-0.52,-1.85,0.47,-5.53
1190,0.02,-0.15,-3.53,1.76,2.06,-5.18,-2.26,-2.48,1.34,-1.08,0.91,2.14,-0.35,-1.23,2.36,-5.54
789,0.1,-0.14,-4.12,1.78,-0.55,-5.44,-0.6,-1.74,1.88,-0.94,1.21,1.85,0.59,-1.32,1.85,-5.55
838,0.09,-0.13,-5.43,1.42,2.59,-5.44,-0.6,-2.83,2.05,-1.01,1.21,1.85,0.59,-1.85,1.85,-5.6
1349,-0.01,-0.24,-3.7,1.68,3.63,-5.45,-2.18,-2.14,1.5,-2.86,0.47,2.49,-0.21,-1.23,2.34,-5.66
1998,-0.14,-0.23,-3.19,1.68,3.81,-6.35,-2.18,-2.05,1.39,-3.22,0.87,2.49,-0.0,-1.17,2.26,-5.66
1848,-0.11,-0.23,-3.19,1.68,3.81,-6.35,-2.18,-2.05,1.39,-3.22,0.87,2.49,-0.0,-1.17,2.26,-5.66
1898,-0.12,-0.23,-3.19,1.68,3.81,-6.35,-2.18,-2.05,1.39,-3.22,0.87,2.49,-0.0,-1.17,2.26,-5.66
1948,-0.13,-0.23,-3.19,1.68,3.81,-6.35,-2.18,-2.05,1.39,-3.22,0.87,2.49,-0.0,-1.17,2.26,-5.66
362,0.18,0.13,-0.96,-0.99,0.0,-1.08,-0.31,0.06,0.0,-0.32,0.0,-0.67,-0.34,-1.08,0.0,-5.69
360,0.18,0.15,-0.96,-0.99,0.0,-1.08,-0.31,0.06,0.0,-0.32,0.0,-0.67,-0.34,-1.08,0.0,-5.69
361,0.18,0.14,-0.96,-0.99,0.0,-1.08,-0.31,0.06,0.0,-0.32,0.0,-0.67,-0.34,-1.08,0.0,-5.69
358,0.18,0.17,-0.96,-0.99,0.0,-1.08,-0.31,0.06,0.0,-0.32,0.0,-0.67,-0.34,-1.08,0.0,-5.69
359,0.18,0.16,-0.96,-0.99,0.0,-1.08,-0.31,0.06,0.0,-0.32,0.0,-0.67,-0.34,-1.08,0.0,-5.69
2294,-0.2,-0.19,-3.19,1.68,2.82,-5.43,-2.18,-2.05,2.01,-3.37,0.41,2.49,-0.0,-1.17,2.26,-5.72
1294,0.0,-0.19,-3.57,1.68,2.77,-5.4,-2.18,-2.32,1.24,-2.29,0.62,2.81,-0.21,-1.23,2.36,-5.72
2444,-0.23,-0.19,-3.19,1.68,2.82,-5.43,-2.18,-2.05,2.01,-3.37,0.41,2.49,-0.0,-1.17,2.26,-5.72
2344,-0.21,-0.19,-3.19,1.68,2.82,-5.43,-2.18,-2.05,2.01,-3.37,0.41,2.49,-0.0,-1.17,2.26,-5.72
677,0.12,-0.02,-1.12,-0.6,-0.88,-1.22,0.47,-0.53,-0.61,0.31,-0.58,-0.25,-0.31,-2.23,1.83,-5.72
2244,-0.19,-0.19,-3.19,1.68,2.82,-5.43,-2.18,-2.05,2.01,-3.37,0.41,2.49,-0.0,-1.17,2.26,-5.72
1191,0.02,-0.16,-3.53,1.76,2.06,-5.13,-2.26,-2.48,1.34,-1.45,0.91,2.14,-0.21,-1.23,2.36,-5.72
2394,-0.22,-0.19,-3.19,1.68,2.82,-5.43,-2.18,-2.05,2.01,-3.37,0.41,2.49,-0.0,-1.17,2.26,-5.72
2494,-0.24,-0.19,-3.19,1.68,2.82,-5.43,-2.18,-2.05,2.01,-3.37,0.41,2.49,-0.0,-1.17,2.26,-5.72
1192,0.02,-0.17,-3.53,1.76,2.06,-5.4,-2.26,-2.48,1.34,-1.2,0.91,2.14,-0.21,-1.23,2.36,-5.74
574,0.14,0.01,-0.96,-1.68,-0.41,-0.65,-0.16,0.06,-0.61,0.32,0.05,-0.67,-0.65,-2.04,1.64,-5.76
363,0.18,0.12,-0.96,-1.01,0.0,-1.13,-0.31,0.06,0.0,-0.32,0.0,-0.67,-0.34,-1.08,0.0,-5.76
364,0.18,0.11,-0.96,-1.01,0.0,-1.13,-0.31,0.06,0.0,-0.32,0.0,-0.67,-0.34,-1.08,0.0,-5.76
1039,0.05,-0.14,-3.72,1.78,2.05,-5.05,-2.27,-2.94,1.34,-1.4,0.91,2.22,0.16,-1.32,2.47,-5.77
2194,-0.18,-0.19,-3.19,1.68,2.82,-5.43,-2.18,-2.05,2.01,-3.43,0.41,2.49,-0.0,-1.17,2.26,-5.78
473,0.16,0.02,-0.96,-1.68,0.0,-0.09,-0.16,0.06,-0.61,0.18,0.05,-0.67,-0.52,-1.85,0.47,-5.78
2144,-0.17,-0.19,-3.19,1.68,2.82,-5.43,-2.18,-2.05,2.01,-3.43,0.41,2.49,-0.0,-1.17,2.26,-5.78
2096,-0.16,-0.21,-3.19,1.68,3.49,-6.35,-2.18,-2.05,2.01,-3.22,0.41,2.49,-0.0,-1.17,2.26,-5.82
2445,-0.23,-0.2,-3.19,1.68,2.7,-5.43,-2.18,-2.05,2.01,-3.37,0.41,2.49,-0.0,-1.17,2.26,-5.84
2295,-0.2,-0.2,-3.19,1.68,2.7,-5.43,-2.18,-2.05,2.01,-3.37,0.41,2.49,-0.0,-1.17,2.26,-5.84
1241,0.01,-0.16,-3.53,1.68,2.04,-5.13,-2.26,-2.5,1.34,-1.45,0.91,2.14,-0.21,-1.23,2.36,-5.84
2245,-0.19,-0.2,-3.19,1.68,2.7,-5.43,-2.18,-2.05,2.01,-3.37,0.41,2.49,-0.0,-1.17,2.26,-5.84
2495,-0.24,-0.2,-3.19,1.68,2.7,-5.43,-2.18,-2.05,2.01,-3.37,0.41,2.49,-0.0,-1.17,2.26,-5.84
2395,-0.22,-0.2,-3.19,1.68,2.7,-5.43,-2.18,-2.05,2.01,-3.37,0.41,2.49,-0.0,-1.17,2.26,-5.84
2345,-0.21,-0.2,-3.19,1.68,2.7,-5.43,-2.18,-2.05,2.01,-3.37,0.41,2.49,-0.0,-1.17,2.26,-5.84
1649,-0.07,-0.24,-3.7,1.68,3.73,-5.7,-2.18,-2.08,1.39,-3.14,0.58,2.49,-0.0,-1.17,2.26,-5.84
1797,-0.1,-0.22,-3.19,1.68,3.81,-5.7,-2.18,-2.05,1.39,-3.59,0.41,2.49,-0.0,-1.17,2.26,-5.84
417,0.17,0.08,-0.96,-1.01,0.0,-0.9,-0.31,0.06,0.0,0.05,0.0,-0.67,-0.34,-1.77,0.0,-5.85
1242,0.01,-0.17,-3.53,1.68,2.04,-5.4,-2.26,-2.5,1.34,-1.2,0.91,2.14,-0.21,-1.23,2.36,-5.86
2047,-0.15,-0.22,-3.19,1.68,3.81,-6.35,-2.18,-2.05,1.62,-3.22,0.41,2.49,-0.0,-1.17,2.26,-5.89
2145,-0.17,-0.2,-3.19,1.68,2.7,-5.43,-2.18,-2.05,2.01,-3.43,0.41,2.49,-0.0,-1.17,2.26,-5.9
381,0.18,-0.06,-1.41,-0.32,0.0,-3.83,-0.29,-1.94,0.0,0.3,0.0,0.02,1.22,-1.48,1.83,-5.9
2195,-0.18,-0.2,-3.19,1.68,2.7,-5.43,-2.18,-2.05,2.01,-3.43,0.41,2.49,-0.0,-1.17,2.26,-5.9
531,0.15,-0.06,-1.41,-0.23,0.0,-3.83,0.35,-1.94,1.33,-0.53,-0.75,0.02,1.51,-2.28,1.83,-5.93
1747,-0.09,-0.22,-3.19,1.68,3.73,-5.7,-2.18,-2.08,1.39,-3.59,0.41,2.49,-0.0,-1.17,2.26,-5.95
1697,-0.08,-0.22,-3.19,1.68,3.73,-5.7,-2.18,-2.08,1.39,-3.59,0.41,2.49,-0.0,-1.17,2.26,-5.95
1399,-0.02,-0.24,-3.7,1.68,3.63,-5.76,-2.18,-2.14,1.5,-2.86,0.47,2.49,-0.21,-1.23,2.34,-5.97
1599,-0.06,-0.24,-3.7,1.68,3.73,-5.76,-2.18,-2.08,1.5,-3.12,0.47,2.49,-0.0,-1.29,2.26,-6.0
732,0.11,-0.07,-2.1,-0.23,-0.47,-5.15,1.88,-2.46,1.14,-1.92,-1.11,1.76,1.51,-0.81,1.95,-6.01
1189,0.02,-0.14,-3.53,1.71,2.06,-5.53,-2.26,-2.48,1.34,-1.17,0.91,2.14,-0.35,-1.23,2.36,-6.03
418,0.17,0.07,-0.96,-1.01,0.0,-0.91,-0.31,0.06,0.0,0.05,0.0,-0.67,-0.52,-1.77,0.0,-6.04
